date;week;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-07-11;28;Chile; 0,8490622;0,80475704; 0,8953653
2020-07-12;28;Chile; 0,8517207;0,80723292; 0,8991721
2020-07-13;29;Chile; 0,8496524;0,80550530; 0,8961742
2020-07-14;29;Chile; 0,8434104;0,79927464; 0,8900113
2020-07-15;29;Chile; 0,8503244;0,80565189; 0,8981711
2020-07-16;29;Chile; 0,8767655;0,83036036; 0,9251107
2020-07-17;29;Chile; 0,8846767;0,84117785; 0,9265603
2020-07-18;29;Chile; 0,8693942;0,83012036; 0,9063754
2020-07-19;29;Chile; 0,8534112;0,81562760; 0,8919231
2020-07-20;30;Chile; 0,8554139;0,81595087; 0,8985333
2020-07-21;30;Chile; 0,8604006;0,81957193; 0,9048109
2020-07-22;30;Chile; 0,8770394;0,83492142; 0,9210475
2020-07-23;30;Chile; 0,8797394;0,83913210; 0,9196459
2020-07-24;30;Chile; 0,8876921;0,84874112; 0,9263212
2020-07-25;30;Chile; 0,8955953;0,85819472; 0,9318279
2020-07-26;30;Chile; 0,8918224;0,85701040; 0,9251517
2020-07-27;31;Chile; 0,8971898;0,86322643; 0,9310102
2020-07-28;31;Chile; 0,9177768;0,88403044; 0,9510686
2020-07-29;31;Chile; 0,9365430;0,90486273; 0,9655066
2020-07-30;31;Chile; 0,9335841;0,90599785; 0,9579362
2020-07-31;31;Chile; 0,9234097;0,89853877; 0,9460029
2020-08-01;31;Chile; 0,9307068;0,90635720; 0,9547300
2020-08-02;31;Chile; 0,9442369;0,91997088; 0,9680479
2020-08-03;32;Chile; 0,9446319;0,92220983; 0,9658355
2020-08-04;32;Chile; 0,9488194;0,92772312; 0,9690130
2020-08-05;32;Chile; 0,9603549;0,93980031; 0,9796743
2020-08-06;32;Chile; 0,9544145;0,93598565; 0,9718201
2020-08-07;32;Chile; 0,9492025;0,93143541; 0,9665518
2020-08-08;32;Chile; 0,9555786;0,93757045; 0,9738604
2020-08-09;32;Chile; 0,9588310;0,94091995; 0,9764268
2020-08-10;33;Chile; 0,9617898;0,94438404; 0,9789280
2020-08-11;33;Chile; 0,9583472;0,94154510; 0,9747760
2020-08-12;33;Chile; 0,9578300;0,94106922; 0,9746985
2020-03-17;12;Tarapacá; 4,9572225;0,12796348;18,3541337
2020-03-18;12;Tarapacá; 4,9587344;0,13183457;18,3703680
2020-03-19;12;Tarapacá; 5,0155011;0,11427252;18,4709296
2020-03-20;12;Tarapacá; 5,0141593;0,12527813;18,8020824
2020-03-21;12;Tarapacá; 5,0244194;0,12276137;18,3978574
2020-03-22;12;Tarapacá; 4,9850033;0,12808814;18,2614949
2020-03-23;13;Tarapacá; 9,9292182;1,22779786;27,8776161
2020-03-24;13;Tarapacá;16,6516824;4,41648275;38,7092687
2020-03-25;13;Tarapacá; 7,6061152;1,41047322;23,1200071
2020-03-26;13;Tarapacá; 4,6861751;1,19889067;13,4922015
2020-03-27;13;Tarapacá; 3,0183508;0,88818157; 7,4808543
2020-03-28;13;Tarapacá; 2,2380869;0,73867076; 5,0030913
2020-03-29;13;Tarapacá; 2,1384247;0,80759775; 4,3276424
2020-03-30;14;Tarapacá; 2,3466878;1,02658155; 4,3455369
2020-03-31;14;Tarapacá; 2,4045480;1,11989579; 4,2776070
2020-04-01;14;Tarapacá; 1,9918826;0,92241184; 3,5806036
2020-04-02;14;Tarapacá; 2,0026540;0,99942283; 3,4380348
2020-04-03;14;Tarapacá; 1,8640969;0,97366536; 3,1323714
2020-04-04;14;Tarapacá; 2,0874723;1,17414429; 3,3220466
2020-04-05;14;Tarapacá; 2,0885238;1,20644739; 3,2591333
2020-04-06;15;Tarapacá; 1,7758202;1,02314315; 2,7929000
2020-04-07;15;Tarapacá; 1,4746280;0,85209482; 2,3224337
2020-04-08;15;Tarapacá; 1,5404239;0,95221879; 2,3149267
2020-04-09;15;Tarapacá; 1,5350826;0,96328775; 2,2579387
2020-04-10;15;Tarapacá; 1,7430169;1,14698815; 2,4843456
2020-04-11;15;Tarapacá; 1,7100181;1,13123193; 2,4238524
2020-04-12;15;Tarapacá; 1,8370300;1,23934823; 2,5689386
2020-04-13;16;Tarapacá; 1,7744669;1,20318824; 2,4816140
2020-04-14;16;Tarapacá; 1,8372896;1,27305993; 2,5387216
2020-04-15;16;Tarapacá; 1,6063886;1,11236942; 2,2301066
2020-04-16;16;Tarapacá; 1,4851413;1,05378846; 2,0362527
2020-04-17;16;Tarapacá; 1,5053442;1,10136102; 2,0087856
2020-04-18;16;Tarapacá; 1,4659722;1,08977337; 1,9278652
2020-04-19;16;Tarapacá; 1,4708254;1,10651265; 1,9134326
2020-04-20;17;Tarapacá; 1,3927038;1,04804033; 1,8021853
2020-04-21;17;Tarapacá; 1,4519017;1,12138823; 1,8428307
2020-04-22;17;Tarapacá; 1,4618095;1,12986737; 1,8485289
2020-04-23;17;Tarapacá; 1,5133239;1,18216470; 1,8958787
2020-04-24;17;Tarapacá; 1,3876654;1,07937036; 1,7505639
2020-04-25;17;Tarapacá; 1,3630275;1,07306303; 1,7050546
2020-04-26;17;Tarapacá; 1,3359612;1,06754934; 1,6531125
2020-04-27;18;Tarapacá; 1,2768838;1,02045606; 1,5711379
2020-04-28;18;Tarapacá; 1,1558754;0,92872838; 1,4154685
2020-04-29;18;Tarapacá; 1,2557669;1,03231276; 1,5077336
2020-04-30;18;Tarapacá; 1,3143287;1,08610224; 1,5698024
